: 1754473019:0;cd .oh-my-zsh/custom/plugins
: 1754572720:0;sudo yum install java-1.8.0-openjdk
: 1754572728:0;sudo yum update
: 1754572735:0;sudo yum install java-1.8.0-openjdk
: 1754572772:0;rhc
: 1754630773:0;subscription-manager register --username rishendra2003 --password ZDYrNmPTk95yp%
: 1754630779:0;sudo subscription-manager register --username rishendra2003 --password ZDYrNmPTk95yp%
: 1754631300:0;sudo subscription-manager register
: 1754631356:0;sudo yum install java-1.8.0-openjdk
: 1754631478:0;yum search jdk
: 1754631488:0;sudo yum search jdk
: 1754631731:0;sudo yum install java-21-openjdk.x86_64
: 1754631774:0;java -version
: 1754631788:0;sudo yum install wget
: 1754631890:0;wget https://download.oracle.com/otn-pub/otn_software/db-express/oracle-database-xe-21c-1.0-1.ol8.x86_64.rpm
: 1754632008:0;ll
: 1754632013:0;chmod +x oracle-database-xe-21c-1.0-1.ol8.x86_64.rpm
: 1754632052:0;sudo yum localinstall oracle-database-xe-21c-1.0-1.ol8.x86_64.rpm
: 1754632162:0;wget https://yum.oracle.com/repo/OracleLinux/OL8/appstream/x86_64/getPackage/oracle-database-preinstall-21c-1.0-1.el8.x86_64.rpm
: 1754632166:0;ll
: 1754632173:0;chmod +x oracle-database-preinstall-21c-1.0-1.el8.x86_64.rpm
: 1754632202:0;sudo yum localinstall oracle-database-preinstall-21c-1.0-1.el8.x86_64.rpm
: 1754632269:0;sudo yum install xorg-x11-font-utils.x86_64
: 1754632277:0;sudo yum localinstall oracle-database-preinstall-21c-1.0-1.el8.x86_64.rpm
: 1754632287:0;sudo yum remove xorg-x11-font-utils.x86_64
: 1754632364:0;sudo yum localinstall oracle-database-preinstall-21c-1.0-1.el8.x86_64.rpm
: 1754632417:0;sudo yum search compat
: 1754632440:0;sudo yum search openssl
: 1754632452:0;sudo yum localinstall oracle-database-preinstall-21c-1.0-1.el8.x86_64.rpm
: 1754632545:0;sudo yum search jdk
: 1754632562:0;sudo yum search java
: 1754632629:0;sudo yum -y install oracle-database-ee-21c
: 1754632676:0;ls -la /etc/yum.repos.d
: 1754632693:0;cat /etc/yum.repos.d/redhat-rhui.repo
: 1754632787:0;wget ftp://ftp.cs.cuhk.edu.hk/pub/X11
: 1754632849:0;sudo yum localinstall oracle-database-preinstall-21c-1.0-1.el8.x86_64.rpm
: 1754632888:0;sudo dnf install xorg-x11-utils
: 1754632967:0;yum repolist all
: 1754633044:0;subscription-manager repos --enable=codeready-builder-for-rhel-10-rhui-rpms
: 1754633049:0;sudo subscription-manager repos --enable=codeready-builder-for-rhel-10-rhui-rpms
: 1754633060:0;yum repolist all
: 1754633080:0;sudo subscription-manager repos --enable=codeready-builder-for-rhel-10-rhui-source-rpms
